u_id,q_id,choice,confidence,user_answer,attention,q_answer,q_type,grade,sample,kapr_question,timestamp,total_kapr_from_questions
4012,230,3,1,0,FALSE,1,24,0,2,0,NA,252.83769031917825
4012,254,5,2,1,FALSE,0,26,0,2,0,NA,252.83769031917825
4012,81,2,2,0,FALSE,0,9,1,2,2.010798352758414e-4,1521575390,252.83769031917825
4012,349,2,2,0,FALSE,0,34,1,2,0,NA,252.83769031917825
4012,265,4,1,1,FALSE,1,27,1,2,0,NA,252.83769031917825
4008,131,3,1,0,FALSE,0,14,1,8,0.09578544061302681,1521575171,252.83769031917825
4008,193,6,3,1,FALSE,1,21,1,8,0,NA,252.83769031917825
4008,26,6,3,1,FALSE,1,3,1,8,0,NA,252.83769031917825
4008,268,2,2,0,FALSE,0,28,1,8,0.8907004830917881,1521575295,252.83769031917825
4008,362,6,3,1,FALSE,1,36,1,8,0,NA,252.83769031917825
4008,58,6,3,1,FALSE,1,7,1,8,0,NA,252.83769031917825
4008,123,1,3,0,FALSE,0,13,1,8,0,NA,252.83769031917825
4008,281,6,3,1,FALSE,1,29,1,8,0,NA,252.83769031917825
4008,300,2,2,0,FALSE,0,30,1,8,0,NA,252.83769031917825
4008,315,2,2,0,FALSE,0,32,1,8,0.887523468168629,1521575435,252.83769031917825
4008,72,6,3,1,FALSE,0,8,0,8,0,NA,252.83769031917825
4008,18,6,3,1,FALSE,1,2,1,8,2.572300850163245e-4,1521575470,252.83769031917825
4008,222,6,3,1,FALSE,1,23,1,8,0,NA,252.83769031917825
4008,141,1,3,0,FALSE,0,16,1,8,1.9252455608831376e-4,1521575514,252.83769031917825
4008,244,1,3,0,FALSE,0,25,1,8,0,NA,252.83769031917825
4008,335,6,3,1,FALSE,1,33,1,8,0,NA,252.83769031917825
4008,89,6,3,1,FALSE,1,10,1,8,0.15432098765432145,1521575553,252.83769031917825
4008,352,2,2,0,FALSE,1,35,0,8,0,NA,252.83769031917825
4008,183,2,2,0,FALSE,0,20,1,8,0,NA,252.83769031917825
4008,45,6,3,1,FALSE,1,6,1,8,0,NA,252.83769031917825
4008,134,6,3,1,FALSE,1,15,1,8,0,NA,252.83769031917825
4008,176,1,3,0,FALSE,0,19,1,8,0,NA,252.83769031917825
4008,103,5,2,1,FALSE,1,12,1,8,0,NA,252.83769031917825
4008,94,5,2,1,FALSE,1,11,1,8,0.6517556517556518,1521575694,252.83769031917825
4008,38,6,3,1,FALSE,1,5,1,8,0,NA,252.83769031917825
4008,151,6,3,1,FALSE,1,17,1,8,0,NA,252.83769031917825
